ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Gothic-621-einwenig-1,1,Gothic,621-einwenig,leitils,leitils,l i t ɪ l s,,557564,,,^ leitils $,default,klein;  wenig,wenig-1,1849-leitils
Gothic-884-hinzufugen-1,4,Gothic,884-hinzufugen,bi-aukan,biaukan,b ɪ ɔ k a n,,557564,,,^ biaukan $,default,hinzufügen,hinzufugen-1,372-biaukan
Gothic-628-wieder-1,7,Gothic,628-wieder,aftra,aftra,a ɸ t r a,,557564,,,^ aftra $,default,wieder,wieder-1,38-aftra
Gothic-447-alter-1,8,Gothic,447-alter,aldomin,aldomin,a l d o m ɪ n,,557564,,,^ aldomin $,default,Alter,Alter-1,186-aldomin
Gothic-447-alter-2,9,Gothic,447-alter,fairniþa,fairniþa,ɸ ɛ r n ɪ θ a,,557564,,,^ fairniþa $,default,Alter,Alter-2,750-fairnia
Gothic-60-luft-1,10,Gothic,60-luft,luftu,luftu,l u ɸ t u,,557564,,,^ luftu $,default,Luft,Luft-1,1921-luftu
Gothic-583-allein-1,12,Gothic,583-allein,sundro,sundro,s u n d r o,,557564,,,^ sundro $,default,abgesondert;  besonders;  allein,allein-1,2797-sundro
Gothic-627-schon-1,13,Gothic,627-schon,ju,ju,j u,,557564,,,^ ju $,default,schon,schon-1,1648-ju
Gothic-627-schon-2,14,Gothic,627-schon,juþan,juþan,j u θ a n,,557564,,,^ juþan $,default,schon,schon-2,1658-juan
Gothic-604-immer-1,15,Gothic,604-immer,sinteino,sinteino,s ɪ n t i n o,,557564,,,^ sinteino $,default,immer;  allezeit,immer-1,2571-sinteino
Gothic-284-menge-1,17,Gothic,284-menge,hiuhma,hiuhma,h ɪ u h m a,,557564,,,^ hiuhma $,default,Menge; Haufe,Menge-2,1380-hiuhma
Gothic-284-menge-2,18,Gothic,284-menge,managei,managei,m a n a ɣ i,,557564,,,^ managei $,default,Menge,Menge-3,1990-managei
Gothic-675-und-1,19,Gothic,675-und,jah,jah,j a h,,557564,,,^ jah $,default,und;  und zwar;  auch,und-1,1628-jah
Gothic-675-und-2,20,Gothic,675-und,-uh,uh,u h,,557564,,,^ uh $,default,nun; und;  also,und-2,3174-uh
Gothic-265-gegend-1,25,Gothic,265-gegend,fera,fera,ɸ e r a,,557564,,,^ fera $,default,Seite;  Gegend,Gegend-1,798-fera
Gothic-265-gegend-2,26,Gothic,265-gegend,land,land,l a n d,,557564,,,^ land $,default,Land;  Gegend,Gegend-2,1795-land
Gothic-26-arm-1,27,Gothic,26-arm,arms,arms,a r m̥ s,,557564,,,^ arms $,default,Arm,Arm-1,324-arms
Gothic-780-ankommen-1,28,Gothic,780-ankommen,niutan,niutan,n ɪ u t a n,,557564,,,^ niutan $,default,treffen;  erreichen;  einer Sache froh sein,erreichen-1,2234-niutan
