ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Hungarian-621-einwenig-1,1,Hungarian,621-einwenig,kevés,kevés,k ɛ v eː ʃ,,uesz,,,^ kevés $,default,  klein; wenig;   wenig;  nicht genug;   unmaßgeblich;   kurz darauf;  ein bißchen;   ein bißchen;   ein bißchen;  nicht genug 〈als Adj〉;   eine kleine Weile;   eine kleine Weile,wenig-3,4645-keves
Hungarian-621-einwenig-2,2,Hungarian,621-einwenig,holmi,holmi,h o l m i,,uesz,,,^ holmi $,default,  Möbel;  Siebensachen; irgendein 〈meistens in verächtlichem Sinn〉;  dies und das;  etwas;   Habseligkeiten,etwas-1,3644-holmi
Hungarian-747-schmerzen-1,4,Hungarian,747-schmerzen,fáj,fáj,f aː j,,uesz,,,^ fáj $,default,  bedauern;   bedauern; schmerzen;   schmerzhaft fühlen;   schmerzhaft fühlen,schmerzen-1,2341-faj
Hungarian-884-hinzufugen-1,5,Hungarian,884-hinzufugen,biggyeszt,biggyeszt,b i ɟː ɛ s t,,uesz,,,^ biggyeszt $,default,anhängen;  hinzufügen;   〈Lippen〉 aufwerfen,hinzufugen-1,718-biggyeszt
Hungarian-884-hinzufugen-2,7,Hungarian,884-hinzufugen,fűz¹,fűz,f yː z,,uesz,,,^ fűz $,default,  Bündel;   hinzufügen; zusammenbinden;  Mieder;  einfädeln;   bestecken;   mit Mieder schnüren;   knüpfen;   zum besten haben;   schön tun 〈Frauen gegenüber〉;   Gewinde;   zusammenbinden lassen;   Perlenstickerin;   Brusttuch;   Heft;   sich verwickeln;   sich an etw knüpfen,hinzufugen-3,2854-fuz
Hungarian-253-angelegenheit-1,12,Hungarian,253-angelegenheit,akció,akció,ɒ k t͡s i oː,,uesz,,,^ akció $,default,Klage;  Klageschrift;   Angelegenheit;   Rede;  Rolle;   Behandlung;   Handlung;  Tätigkeit;   Wirkung;   Geltrafe;   Aktion als grammatischer Terminus ,Angelegenheit-1,136-akcio
Hungarian-253-angelegenheit-2,13,Hungarian,253-angelegenheit,baj,baj,b ɒ j,,uesz,,,^ baj $,default,  Angelegenheit; Kampf;  Zweikampf;   Ort des Zweikampfes;   Sorge;   Beschwerlichkeit;  Plackerei;   Krankheit;  Defekt;   Menstruation;   Notdurft;   Hinderniss,Angelegenheit-2,479-baj
Hungarian-598-danach-1,18,Hungarian,598-danach,rá,rá,r aː,,uesz,,,^ rá $,default, nur zu;   los;   außerdem;  vorwärts;  dafür;   für ihn;   auf ihn; 〈in der Funktion des SublatSf -ra;  in der Funktion des TermSf -ig〉;  darauf;  darauf;  daran 〈mit Akk〉;   auf ihm;  daran 〈mit Dat〉;   auf sich 〈Akk〉;   auf ihn zu;   danach;   dazu noch,danach-1,7586-ra
Hungarian-628-wieder-1,19,Hungarian,628-wieder,ismét,ismét,i ʃ m eː t,,uesz,,,^ ismét $,default, doch;  gleichfalls;   auch;   hingegen; wieder;   ferner;  noch,wieder-1,3964-ismet
Hungarian-628-wieder-2,20,Hungarian,628-wieder,másutt,másutt,m aː ʃ u tː,,uesz,,,^ másutt $,default,  wieder; anderswo,wieder-2,5849-masutt
Hungarian-447-alter-1,29,Hungarian,447-alter,év,év,eː v,,uesz,,,^ év $,default,Jahr;   Zeit;  Alter;   Jahrgang 〈einer Zeitschrift〉,Alter-1,2301-ev
Hungarian-447-alter-2,30,Hungarian,447-alter,öreg,öreg,ø r ɛ ɡ,,uesz,,,^ öreg $,default,  alt;   alt;  bejahrt; groß;  wertvoll;    Alter;  nützlich;  umfangreich;   bedeutend;  eine führende Rolle spielend 〈Person〉;   dick 〈Speise〉;   spät 〈Tageszeit〉;  nicht neu;   Alte 〈Person〉;   Alter 〈als vertreuliche Anrede〉;    Vater od  Mutter;   Alte 〈Eheleute〉;   altkluges Kind;   größer werden;   an Weisheit zunehmen;  seelische Bereicherung erfahren,Alter-2,6586-oreg
Hungarian-60-luft-1,35,Hungarian,60-luft,ég²,ég,eː ɡ,,uesz,,,^ ég $,default,  Luft; Himmel;   Himmelreich;   Hauch,Luft-3,2038-eg
Hungarian-60-luft-2,36,Hungarian,60-luft,lég,lég,l eː ɡ,,uesz,,,^ lég $,default,Luft;   Luft;   Gas,Luft-4,5526-leg
