match,recipdf_idx,Meaning_x,Meaning_y,gensim_multiword
døs,127,Brett,Tor,0.4741247594356537
dis,127,Brett,Sack,0.45646339654922485
disɒ,127,Brett,unten,0.4463971257209778
teːjz,1507,Winter,See,0.42209795117378235
disɛ,127,Brett,Bett,0.412935346364975
maːm,1384,heute,kommen,0.41132020950317383
maːmik,1384,heute,Bild,0.381894588470459
maːmɛ,1384,heute,Menge,0.36999958753585815
dɛs,127,Brett,See,0.357322096824646
dis,127,Brett,Salz,0.33729514479637146
maːm,1384,heute,wachsen,0.3358258008956909
maːm,1384,heute,Name,0.32668888568878174
dis,127,Brett,Gold,0.3207467198371887
maːm,1384,heute,messen,0.3192540407180786
teːlz,1507,Winter,sechs,0.3188289701938629
teːlm,1507,Winter,zehn,0.31336772441864014
dis,127,Brett,Ende,0.30964571237564087
maːm,1384,heute,Fleisch,0.30515241622924805
dis,127,Brett,Tag,0.30370116233825684
maːmɒ,1384,heute,Sand,0.2985398769378662
dis,127,Brett,Sohn,0.29827791452407837
dɛs,127,Brett,sechs,0.29727208614349365
ɛnɡɒ,1125,Hemd,Mond,0.2888202667236328
deːm,1507,Winter,tragen,0.2873855233192444
døs,127,Brett,gut,0.2775084972381592
hinɡɒ,1125,Hemd,Hahn,0.275529146194458
maːmz,1384,heute,Schulter,0.27274125814437866
dis,127,Brett,Blut,0.26545724272727966
teː,1507,Winter,Schmerz,0.2610864043235779
deːlz,1507,Winter,Teil,0.2526267468929291
maːrɛ,1384,heute,Meer,0.23351448774337769
disɒm,127,Brett,treten,0.22322699427604675
dɛs,127,Brett,Teil,0.22050030529499054
dis,127,Brett,Gott,0.21729421615600586
dɛs,127,Brett,Zweig,0.2082156538963318
dɛs,127,Brett,bleiben,0.19984380900859833
dis,127,Brett,Zeit,0.18721333146095276
deːj,1507,Winter,nahe,0.18495643138885498
døs,127,Brett,Geruch,0.183854341506958
teːz,1507,Winter,Zweig,0.1830219179391861
inɡol,1125,Hemd,Ruhe,0.1810813844203949
disik,127,Brett,Saat,0.17692406475543976
dis,127,Brett,Tod,0.1748497039079666
dis,127,Brett,Schuld,0.17405039072036743
