ID	ID_rc	ID_ad
0	30-acs	f1035
1	30-acs	f2414
2	30-acs	f4425
3	36-ad	f97
4	36-ad	f176
5	36-ad	f227
6	36-ad	f236
7	36-ad	f274
8	36-ad	f275
9	36-ad	f276
10	36-ad	f411
11	36-ad	f475
12	36-ad	f546
13	36-ad	f547
14	36-ad	f1035
15	36-ad	f2347
16	36-ad	f2368
17	36-ad	f2560
18	36-ad	f2612
19	36-ad	f2614
20	36-ad	f2702
21	36-ad	f4126
22	36-ad	f4128
23	36-ad	f4268
24	36-ad	f4425
25	36-ad	f4533
26	45-ado	f6
27	45-ado	f210
28	45-ado	f231
29	45-ado	f236
30	45-ado	f275
31	45-ado	f276
32	45-ado	f341
33	45-ado	f358
34	45-ado	f411
35	45-ado	f527
36	45-ado	f558
37	45-ado	f572
38	45-ado	f1033
39	45-ado	f1036
40	45-ado	f2450
41	45-ado	f2457
42	45-ado	f2702
43	45-ado	f2710
44	45-ado	f4128
45	45-ado	f4239
46	45-ado	f4426
47	45-ado	f4453
48	45-ado	f4511
49	45-ado	f4543
50	45-ado	f4546
51	45-ado	f4564
52	78-agyag	f317
53	78-agyag	f527
54	78-agyag	f576
55	78-agyag	f1040
56	78-agyag	f4128
57	86-ajak	f438
58	86-ajak	f440
59	86-ajak	f448
60	86-ajak	f1040
61	86-ajak	f4572
62	86-ajak	f4573
63	86-ajak	f4729
64	191-alig	f1040
65	191-alig	f4729
66	192-alit	f178
67	192-alit	f266
68	192-alit	f1034
69	192-alit	f4719
70	282-anya	f97
71	282-anya	f176
72	282-anya	f227
73	282-anya	f236
74	282-anya	f274
75	282-anya	f275
76	282-anya	f276
77	282-anya	f411
78	282-anya	f475
79	282-anya	f546
80	282-anya	f547
81	282-anya	f1023
82	282-anya	f1035
83	282-anya	f2347
84	282-anya	f2368
85	282-anya	f2560
86	282-anya	f2612
87	282-anya	f2614
88	282-anya	f2702
89	282-anya	f3051
90	282-anya	f4032
91	282-anya	f4126
92	282-anya	f4128
93	282-anya	f4268
94	282-anya	f4425
95	282-anya	f4529
96	282-anya	f4533
97	290-apa	f10
98	290-apa	f34
99	290-apa	f475
100	290-apa	f543
101	290-apa	f1023
102	290-apa	f1035
103	290-apa	f2345
104	290-apa	f2414
105	290-apa	f2568
106	290-apa	f3051
107	290-apa	f4032
108	290-apa	f4041
109	290-apa	f4119
110	290-apa	f4425
111	290-apa	f4586
112	296-apat	f34
113	312-ar	f120
114	312-ar	f124
115	312-ar	f176
116	312-ar	f209
117	312-ar	f221
118	312-ar	f242
119	312-ar	f248
120	312-ar	f274
121	312-ar	f430
122	312-ar	f546
123	312-ar	f547
124	312-ar	f550
125	312-ar	f555
126	312-ar	f556
127	312-ar	f1023
128	312-ar	f1025
129	312-ar	f1030
130	312-ar	f1033
131	312-ar	f2347
132	312-ar	f2368
133	312-ar	f2409
134	312-ar	f2432
135	312-ar	f2435
136	312-ar	f2443
137	312-ar	f2444
138	312-ar	f2451
139	312-ar	f3051
140	312-ar	f4032
141	312-ar	f4126
142	312-ar	f4268
143	312-ar	f4280
144	312-ar	f4450
145	312-ar	f4462
146	312-ar	f4477
147	312-ar	f4509
148	312-ar	f4510
149	312-ar	f4549
150	321-arasz	f123
151	321-arasz	f184
152	321-arasz	f187
153	321-arasz	f188
154	321-arasz	f257
155	321-arasz	f267
156	321-arasz	f442
157	321-arasz	f460
158	321-arasz	f461
159	321-arasz	f4279
160	321-arasz	f4483
161	321-arasz	f4485
162	321-arasz	f4489
163	321-arasz	f4490
164	321-arasz	f4559
165	321-arasz	f4560
166	351-arok	f438
167	351-arok	f4572
168	351-arok	f4573
169	353-arpa	f434
170	356-artany	f4547
171	366-arviz	f179
172	366-arviz	f247
173	369-asit	f561
174	380-aszik	f1040
175	380-aszik	f4354
176	436-azaz	f143
177	436-azaz	f195
178	436-azaz	f1038
179	436-azaz	f3058
180	436-azaz	f4279
181	454-baba	f578
182	454-baba	f584
183	454-baba	f585
184	454-baba	f689
185	454-baba	f728
186	454-baba	f2751
187	454-baba	f2941
188	454-baba	f3064
189	475-bagoly	f868
190	482-bajor	f3078
191	498-bako	f808
192	498-bako	f2807
193	498-bako	f3074
194	504-bal	f2
195	504-bal	f9
196	504-bal	f10
197	504-bal	f587
198	504-bal	f606
199	504-bal	f615
200	504-bal	f629
201	504-bal	f644
202	504-bal	f656
203	504-bal	f657
204	504-bal	f676
205	504-bal	f683
206	504-bal	f807
207	504-bal	f808
208	504-bal	f810
209	504-bal	f1023
210	504-bal	f1048
211	504-bal	f1123
212	504-bal	f1189
213	504-bal	f1250
214	504-bal	f2432
215	504-bal	f2737
216	504-bal	f2740
217	504-bal	f2743
218	504-bal	f2752
219	504-bal	f2780
220	504-bal	f2782
221	504-bal	f2808
222	504-bal	f2816
223	504-bal	f2818
224	504-bal	f2821
225	504-bal	f2822
226	504-bal	f2825
227	504-bal	f2829
228	504-bal	f2830
229	504-bal	f2837
230	504-bal	f2838
231	504-bal	f3078
232	506-bala	f587
233	506-bala	f590
234	506-bala	f601
235	506-bala	f606
236	506-bala	f615
237	506-bala	f629
238	506-bala	f683
239	506-bala	f812
240	506-bala	f1189
241	506-bala	f1212
242	506-bala	f1250
243	506-bala	f2737
244	506-bala	f2752
245	506-bala	f2780
246	506-bala	f2782
247	506-bala	f2787
248	506-bala	f2788
249	506-bala	f2821
250	506-bala	f2822
251	506-bala	f2825
252	506-bala	f2829
253	506-bala	f2830
254	506-bala	f3078
255	531-ban	f272
256	531-ban	f626
257	531-ban	f1250
258	531-ban	f2727
259	531-ban	f2759
260	531-ban	f2761
261	531-ban	f2770
262	531-ban	f2771
263	531-ban	f2772
264	531-ban	f2827
265	531-ban	f4604
266	532-ban	f272
267	532-ban	f626
268	532-ban	f1250
269	532-ban	f2727
270	532-ban	f2759
271	532-ban	f2761
272	532-ban	f2770
273	532-ban	f2771
274	532-ban	f2772
275	532-ban	f2827
276	532-ban	f4604
277	547-banya	f272
278	547-banya	f626
279	547-banya	f728
280	547-banya	f1250
281	547-banya	f2727
282	547-banya	f2751
283	547-banya	f2759
284	547-banya	f2761
285	547-banya	f2770
286	547-banya	f2771
287	547-banya	f2772
288	547-banya	f2827
289	547-banya	f2941
290	547-banya	f4604
291	583-baro	f587
292	583-baro	f606
293	583-baro	f615
294	583-baro	f629
295	583-baro	f812
296	583-baro	f870
297	583-baro	f2829
298	583-baro	f3068
299	600-bator	f603
300	617-be	f2737
301	632-begy	f2807
302	632-begy	f2820
303	632-begy	f2939
304	635-beka	f808
305	635-beka	f2807
306	635-beka	f2820
307	635-beka	f2849
308	635-beka	f3074
309	640-bel	f2
310	640-bel	f9
311	640-bel	f587
312	640-bel	f606
313	640-bel	f615
314	640-bel	f629
315	640-bel	f657
316	640-bel	f676
317	640-bel	f683
318	640-bel	f689
319	640-bel	f709
320	640-bel	f714
321	640-bel	f807
322	640-bel	f1048
323	640-bel	f1067
324	640-bel	f1123
325	640-bel	f1189
326	640-bel	f1212
327	640-bel	f1250
328	640-bel	f2737
329	640-bel	f2752
330	640-bel	f2780
331	640-bel	f2782
332	640-bel	f2808
333	640-bel	f2816
334	640-bel	f2821
335	640-bel	f2822
336	640-bel	f2823
337	640-bel	f2825
338	640-bel	f2829
339	640-bel	f2830
340	640-bel	f3078
341	663-ber	f9
342	663-ber	f578
343	663-ber	f584
344	663-ber	f585
345	663-ber	f587
346	663-ber	f606
347	663-ber	f615
348	663-ber	f629
349	663-ber	f657
350	663-ber	f683
351	663-ber	f689
352	663-ber	f738
353	663-ber	f870
354	663-ber	f1067
355	663-ber	f1123
356	663-ber	f1189
357	663-ber	f1212
358	663-ber	f2737
359	663-ber	f2780
360	663-ber	f2782
361	663-ber	f2808
362	663-ber	f2821
363	663-ber	f2822
364	663-ber	f2823
365	663-ber	f2825
366	663-ber	f2829
367	663-ber	f2830
368	663-ber	f3068
369	663-ber	f3078
370	671-berek	f738
371	737-bir	f578
372	737-bir	f584
373	737-bir	f585
374	737-bir	f683
375	737-bir	f689
376	737-bir	f738
377	737-bir	f870
378	737-bir	f1189
379	737-bir	f1212
380	737-bir	f2737
381	737-bir	f3078
382	739-birka	f590
383	739-birka	f594
384	739-birka	f601
385	739-birka	f738
386	739-birka	f2787
387	739-birka	f2788
388	751-bizik	f698
389	781-boda	f272
390	781-boda	f579
391	781-boda	f580
392	781-boda	f621
393	781-boda	f625
394	781-boda	f626
395	781-boda	f627
396	781-boda	f638
397	781-boda	f646
398	781-boda	f683
399	781-boda	f697
400	781-boda	f732
401	781-boda	f810
402	781-boda	f815
403	781-boda	f833
404	781-boda	f1189
405	781-boda	f1212
406	781-boda	f1250
407	781-boda	f2743
408	781-boda	f2759
409	781-boda	f2821
410	781-boda	f2822
411	781-boda	f2827
412	781-boda	f2837
413	781-boda	f2838
414	781-boda	f2860
415	781-boda	f2862
416	781-boda	f2924
417	781-boda	f2931
418	781-boda	f2939
419	781-boda	f2945
420	781-boda	f3059
421	781-boda	f3091
422	781-boda	f4604
423	788-bodor	f603
424	788-bodor	f638
425	788-bodor	f2769
426	788-bodor	f2947
427	810-boka	f808
428	810-boka	f2807
429	810-boka	f2820
430	810-boka	f2849
431	810-boka	f3074
432	833-bolt	f636
433	833-bolt	f659
434	833-bolt	f660
435	833-bolt	f666
436	833-bolt	f686
437	833-bolt	f2860
438	833-bolt	f2939
439	860-bordely	f638
440	865-borju	f594
441	865-borju	f615
442	865-borju	f870
443	865-borju	f2829
444	865-borju	f3081
445	868-borona	f589
446	868-borona	f636
447	868-borona	f638
448	868-borona	f655
449	868-borona	f834
450	868-borona	f850
451	868-borona	f851
452	868-borona	f2750
453	880-borz	f609
454	880-borz	f612
455	880-borz	f666
456	880-borz	f669
457	880-borz	f686
458	880-borz	f824
459	880-borz	f2860
460	888-bot	f273
461	888-bot	f644
462	888-bot	f645
463	888-bot	f646
464	888-bot	f654
465	888-bot	f671
466	888-bot	f810
467	888-bot	f1185
468	888-bot	f2740
469	888-bot	f2743
470	888-bot	f2818
471	888-bot	f2837
472	888-bot	f2838
473	888-bot	f2860
474	888-bot	f2879
475	888-bot	f2924
476	888-bot	f2939
477	888-bot	f2954
478	888-bot	f3064
479	888-bot	f3073
480	907-bojt	f587
481	907-bojt	f606
482	907-bojt	f629
483	907-bojt	f654
484	907-bojt	f657
485	907-bojt	f683
486	907-bojt	f1067
487	907-bojt	f1123
488	907-bojt	f1189
489	907-bojt	f1212
490	907-bojt	f1250
491	907-bojt	f2737
492	907-bojt	f2780
493	907-bojt	f2808
494	907-bojt	f3078
495	959-bu	f2
496	959-bu	f606
497	959-bu	f676
498	959-bu	f807
499	959-bu	f2730
500	959-bu	f2938
501	1033-buza	f579
502	1033-buza	f580
503	1033-buza	f609
504	1033-buza	f612
505	1033-buza	f644
506	1033-buza	f645
507	1033-buza	f652
508	1033-buza	f654
509	1033-buza	f657
510	1033-buza	f671
511	1033-buza	f674
512	1033-buza	f683
513	1033-buza	f697
514	1033-buza	f698
515	1033-buza	f765
516	1033-buza	f783
517	1033-buza	f1123
518	1033-buza	f1185
519	1033-buza	f1189
520	1033-buza	f1212
521	1033-buza	f2737
522	1033-buza	f2740
523	1033-buza	f2743
524	1033-buza	f2780
525	1033-buza	f2799
526	1033-buza	f2800
527	1033-buza	f2808
528	1033-buza	f2837
529	1033-buza	f2838
530	1033-buza	f2860
531	1033-buza	f2868
532	1033-buza	f2873
533	1033-buza	f2879
534	1033-buza	f2931
535	1033-buza	f2954
536	1045-bukk	f2849
537	1045-bukk	f3074
538	1050-burok	f594
539	1050-burok	f738
540	1057-buz	f652
541	1057-buz	f657
542	1057-buz	f683
543	1057-buz	f697
544	1057-buz	f1067
545	1057-buz	f1123
546	1057-buz	f1185
547	1057-buz	f1189
548	1057-buz	f1212
549	1057-buz	f2737
550	1057-buz	f2747
551	1057-buz	f2748
552	1057-buz	f2808
553	1057-buz	f2837
554	1057-buz	f2931
555	1057-buz	f2954
556	1057-buz	f3059
557	1141-cako	f467
558	1141-cako	f2592
559	1141-cako	f3270
560	1141-cako	f3398
561	1141-cako	f3406
562	1141-cako	f3457
563	1141-cako	f3523
564	1198-cet	f574
565	1198-cet	f1185
566	1198-cet	f2162
567	1198-cet	f3281
568	1198-cet	f3311
569	1198-cet	f3332
570	1198-cet	f3333
571	1198-cet	f3358
572	1198-cet	f3376
573	1198-cet	f3377
574	1198-cet	f3573
575	1198-cet	f3582
576	1198-cet	f3660
577	1198-cet	f3667
578	1198-cet	f3668
579	1198-cet	f3814
580	1198-cet	f3906
581	1198-cet	f4018
582	1286-citera	f3276
583	1286-citera	f3535
584	1286-citera	f3537
585	1286-citera	f3567
586	1286-citera	f3742
587	1311-cudar	f3647
588	1719-daru	f915
589	1719-daru	f3790
590	1751-del	f6
591	1751-del	f7
592	1751-del	f242
593	1751-del	f248
594	1751-del	f275
595	1751-del	f276
596	1751-del	f411
597	1751-del	f510
598	1751-del	f572
599	1751-del	f883
600	1751-del	f910
601	1751-del	f914
602	1751-del	f915
603	1751-del	f932
604	1751-del	f1005
605	1751-del	f2434
606	1751-del	f2443
607	1751-del	f2444
608	1751-del	f2612
609	1751-del	f2959
610	1751-del	f2984
611	1751-del	f2985
612	1751-del	f2998
613	1751-del	f3000
614	1751-del	f3001
615	1751-del	f3013
616	1751-del	f3014
617	1751-del	f3016
618	1751-del	f3024
619	1751-del	f3045
620	1751-del	f3078
621	1751-del	f3242
622	1751-del	f3243
623	1751-del	f3249
624	1751-del	f3261
625	1751-del	f3265
626	1751-del	f3266
627	1751-del	f3306
628	1751-del	f3312
629	1751-del	f3325
630	1751-del	f3331
631	1751-del	f3748
632	1751-del	f3787
633	1751-del	f3790
634	1751-del	f3793
635	1751-del	f3802
636	1751-del	f3805
637	1751-del	f3824
638	1751-del	f3842
639	1751-del	f3849
640	1751-del	f3853
641	1751-del	f3856
642	1751-del	f3868
643	1751-del	f3910
644	1751-del	f3911
645	1751-del	f3913
646	1751-del	f3930
647	1751-del	f3931
648	1751-del	f3932
649	1751-del	f4006
650	1751-del	f4436
651	1751-del	f4584
652	1751-del	f4613
653	1751-del	f4630
654	1854-disz	f880
655	1854-disz	f925
656	1854-disz	f926
657	1854-disz	f934
658	1854-disz	f1014
659	1854-disz	f2444
660	1854-disz	f2458
661	1854-disz	f2459
662	1854-disz	f2634
663	1854-disz	f2637
664	1854-disz	f2644
665	1854-disz	f2663
666	1854-disz	f2959
667	1854-disz	f3007
668	1854-disz	f3015
669	1854-disz	f3016
670	1854-disz	f3022
671	1854-disz	f3045
672	1854-disz	f3234
673	1854-disz	f3249
674	1854-disz	f3261
675	1854-disz	f3266
676	1854-disz	f3325
677	1854-disz	f3376
678	1854-disz	f3377
679	1854-disz	f3667
680	1854-disz	f3668
681	1854-disz	f3805
682	1854-disz	f3814
683	1854-disz	f3853
684	1854-disz	f3868
685	1854-disz	f4018
686	1896-dong	f3844
687	1930-dore	f914
688	1973-dul	f6
689	1973-dul	f7
690	1973-dul	f242
691	1973-dul	f275
692	1973-dul	f276
693	1973-dul	f411
694	1973-dul	f510
695	1973-dul	f572
696	1973-dul	f910
697	1973-dul	f914
698	1973-dul	f915
699	1973-dul	f932
700	1973-dul	f2434
701	1973-dul	f2443
702	1973-dul	f2444
703	1973-dul	f2612
704	1973-dul	f2959
705	1973-dul	f2984
706	1973-dul	f2985
707	1973-dul	f2998
708	1973-dul	f3000
709	1973-dul	f3013
710	1973-dul	f3016
711	1973-dul	f3024
712	1973-dul	f3045
713	1973-dul	f3078
714	1973-dul	f3242
715	1973-dul	f3243
716	1973-dul	f3249
717	1973-dul	f3261
718	1973-dul	f3265
719	1973-dul	f3266
720	1973-dul	f3306
721	1973-dul	f3312
722	1973-dul	f3325
723	1973-dul	f3352
724	1973-dul	f3748
725	1973-dul	f3787
726	1973-dul	f3790
727	1973-dul	f3793
728	1973-dul	f3805
729	1973-dul	f3824
730	1973-dul	f3842
731	1973-dul	f3844
732	1973-dul	f3849
733	1973-dul	f3853
734	1973-dul	f3856
735	1973-dul	f3868
736	1973-dul	f3910
737	1973-dul	f3911
738	1973-dul	f3913
739	1973-dul	f3930
740	1973-dul	f3932
741	1973-dul	f4006
742	1973-dul	f4436
743	1973-dul	f4613
744	2018-ebed	f2423
745	2018-ebed	f4475
746	2018-ebed	f4604
747	2030-ed	f176
748	2030-ed	f274
749	2030-ed	f475
750	2030-ed	f546
751	2030-ed	f547
752	2030-ed	f1035
753	2030-ed	f2347
754	2030-ed	f2368
755	2030-ed	f2369
756	2030-ed	f2612
757	2030-ed	f2633
758	2030-ed	f4126
759	2030-ed	f4128
760	2030-ed	f4268
761	2030-ed	f4425
762	2030-ed	f4472
763	2030-ed	f4597
764	2030-ed	f4659
765	2030-ed	f4660
766	2030-ed	f4662
767	2030-ed	f4663
768	2033-edeny	f2362
769	2033-edeny	f2413
770	2033-edeny	f2567
771	2033-edeny	f2671
772	2033-edeny	f4473
