ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID,rc
Hungarian-621-einwenig-1,1,Hungarian,621-einwenig,kevés,kevés,k ɛ v eː ʃ,,uesz,,,^ kevés $,default,  klein; wenig;   wenig;  nicht genug;   unmaßgeblich;   kurz darauf;  ein bißchen;   ein bißchen;   ein bißchen;  nicht genug 〈als Adj〉;   eine kleine Weile;   eine kleine Weile,wenig-3,4645-keves,^(k)(ɛ|i|ø|y)(v|ɣ|w)(ɛ|i|eː)(t͡ʃ|ɣ)(ɣ)?$
Hungarian-747-schmerzen-1,4,Hungarian,747-schmerzen,fáj,fáj,f aː j,,uesz,,,^ fáj $,default,  bedauern;   bedauern; schmerzen;   schmerzhaft fühlen;   schmerzhaft fühlen,schmerzen-1,2341-faj,#f not old
Hungarian-884-hinzufugen-1,5,Hungarian,884-hinzufugen,biggyeszt,biggyeszt,b i ɟː ɛ s t,,uesz,,,^ biggyeszt $,default,anhängen;  hinzufügen;   〈Lippen〉 aufwerfen,hinzufugen-1,718-biggyeszt,ɟː not old
Hungarian-253-angelegenheit-1,17,Hungarian,253-angelegenheit,ügy²,ügy,y ɟ,,uesz,,,^ ügy $,default,  Angelegenheit;   Grund;  Sache;  Schicksal;   suggerieren;  Schlauheit;   aneifern;  Aufmerksamkeit;   Beachtung;   Lage;   geschickt;  Vorfall;  Ursache;  Rechtsstreit;   Prozeß; Geschehen;   Rechtsfall;  Tatbestand;   Geschäftigkeit;   Prozeßpartei;   jmdm Beachtung schenken;  ügyefogyott;  gyámoltalan,Angelegenheit-7,9634-ugy,ɟ# not old
Hungarian-598-danach-1,18,Hungarian,598-danach,rá,rá,r aː,,uesz,,,^ rá $,default, nur zu;   los;   außerdem;  vorwärts;  dafür;   für ihn;   auf ihn; 〈in der Funktion des SublatSf -ra;  in der Funktion des TermSf -ig〉;  darauf;  darauf;  daran 〈mit Akk〉;   auf ihm;  daran 〈mit Dat〉;   auf sich 〈Akk〉;   auf ihn zu;   danach;   dazu noch,danach-1,7586-ra,"#r, aː# not old"
Hungarian-628-wieder-1,19,Hungarian,628-wieder,ismét,ismét,i ʃ m eː t,,uesz,,,^ ismét $,default, doch;  gleichfalls;   auch;   hingegen; wieder;   ferner;  noch,wieder-1,3964-ismet,ʃm not old
Hungarian-628-wieder-2,22,Hungarian,628-wieder,megint,megint,m ɛ ɡ i n t,,uesz,,,^ megint $,default,  doch;   und; wieder;   wieder,wieder-4,5981-megint,nt# not old
Hungarian-60-luft-1,36,Hungarian,60-luft,lég,lég,l eː ɡ,,uesz,,,^ lég $,default,Luft;   Luft;   Gas,Luft-4,5526-leg,^(v)(ɛ|i|eː|ø|e)(ɡ|k|nd)(ɣ|i|iɣ|y)?$
Hungarian-60-luft-2,38,Hungarian,60-luft,levegő,levegő,l ɛ v ɛ ɡ øː,,uesz,,,^ levegő $,default,Luft;   Luft;  Atmosphäre;   allgemeine Stimmung;  Nichts;   das Freie;  freie Luft;   luftartige;  gasförmige Substanz;   Niemand,Luft-6,5604-levego,^(v)(ɛ|i|ø)(v|ɣ|w)(ɛ|i)(ɡ|n)(ɛ|i)(ɣ)?$
Hungarian-639-alles-1,42,Hungarian,639-alles,monnó,monnó,m o nː oː,,uesz,,,^ monnó $,default,beide;   alles,alles-1,6218-monno,nː not old
Hungarian-583-allein-1,44,Hungarian,583-allein,egyedül,egyedül,ɛ ɟ ɛ d y l,,uesz,,,^ egyedül $,default,einsam;   nur;  allein;  ausschließlich;  alleinstehend 〈als Adv〉;  für sich,allein-2,2058-egyedul,^(ɛ|i)(ld|d)(ɛ|i|ø)(d|ld)(i|y)(l|ɣ)(ɣ)?$
Hungarian-627-schon-1,51,Hungarian,627-schon,már,már,m aː r,,uesz,,,^ már $,default,  schon; also;   mal ... mal;  denn;   mehr 〈nicht〉;  bereits,schon-6,5934-mar,^(m)(a|aː|i|m)(r|v|ɣ|t|w)(ɣ|i|iɣ|y)?$
Hungarian-604-immer-1,54,Hungarian,604-immer,mindig,mindig,m i n d i ɡ,,uesz,,,^ mindig $,default,immer;   immer ;  stets;   jeweils,immer-3,6055-mindig,^(m)(i|y|a|ɛ)(n|nd)(i|y|a)(ɡ|k|nd)(ɣ)?$
Hungarian-284-menge-1,60,Hungarian,284-menge,halom,halom,h ɒ l o m,,uesz,,,^ halom $,default,  Haufen;  Menge; niedriger Hügel;  Stoß;   Kartoffelmiete;   häufen 〈auch abstr〉,Menge-5,3346-halom,^(h|ks|u)(a|o|ɒ)(l|rl|ɣ)(u|o)(m)?$
Hungarian-284-menge-2,73,Hungarian,284-menge,szám,szám,s aː m,,uesz,,,^ szám $,default, Menge;   Arbeit;   zahlreich;   Ziffer;  Zahl; Personalbestand; Reihe;  Anzahl bestimmter Individuen;   Anzahl;   Quantität;  Nummer;  werk;   Numerus;   Exemplar einer Zeitung;  Zeitschrift usw;   Arithmetik;  Mathematik;   Nummer innerhalb einer Spielfolge;   Trennpfahl zwischen zwei Klaftern Holz;   Zählender;   Zähler 〈Math〉,Menge-18,8552-szam,^(s)(a|aː|i|m)(m)?(ɣ|i|iɣ|y)?$
Hungarian-675-und-1,76,Hungarian,675-und,és,és,eː ʃ,,uesz,,,^ és $,default,und,und-1,2252-es,^(ɛ)(t͡ʃ|ɣ|ʃ|lt͡ʃ)?(ɣ|i|iɣ|y)?$
Hungarian-675-und-2,78,Hungarian,675-und,meg²,meg,m ɛ ɡ,,uesz,,,^ meg $,default,doch;   außerdem;  und,und-3,5976-meg,^(m)(ɛ|i|ø|y|a)(ɡ|k|nd)(ɣ|i|iɣ|y)?$
Hungarian-132-tier-1,81,Hungarian,132-tier,állat,állat,aː lː ɒ t,,uesz,,,^ állat $,default,  Gestalt;   Gerät;   Wesen; Zustand;   Lebewesen;   Sache;   Tier;  Vierfüßer;  nagy termetű,Tier-1,210-allat,lː not old
Hungarian-166-ameise-1,90,Hungarian,166-ameise,hangya,hangya,h ɒ n ɟ ɒ,,uesz,,,^ hangya $,default,Ameise ,Ameise-1,3371-hangya,^(h|ks|u)(a|o|ɒ|i)(nɟ|nt͡ʃ)(a|u|ai)(ɣ)?$
Hungarian-172-apfel-1,91,Hungarian,172-apfel,alma,alma,ɒ l m ɒ,,uesz,,,^ alma $,default,Apfelbaum;   Apfel;   〈als Ausdruck der Verneinung〉;   Apfelgarten;   mit Apfelmotiven versehen 〈zB weißes Pferd〉;   faul 〈im Arg〉 ,Apfel-1,219-alma,^(a|o)(lm)(a|u|ai)?(ɣ|i|iɣ|y)?$
Hungarian-465-april-1,92,Hungarian,465-april,április,április,aː p r i l i ʃ,,uesz,,,^ április $,default,April,April-1,306-aprilis,^(a|aː|o)(p|pr)(i|y)(l|rl)(i|y)(t͡ʃ|ɣ)(ɣ)?$
Hungarian-265-gegend-1,94,Hungarian,265-gegend,környék,környék,k ø r ɲ eː k,,uesz,,,^ környék $,default,Umgebung;   umgeben;  Gegend;   Rand;  Umkreis;   Umfang;  Saum;   jmdn versuchen;  an jmdn mit einem  Angebot herantreten;   Unterwerfung;   unbeschnitten 〈Mann〉;   Umhüllung,Gegend-2,4830-kornyek,^(k)(y|ɛ|ø|i)(r)(ɛ|i|eː)(k|jk)?(ɣ|i)?$
Hungarian-26-arm-1,102,Hungarian,26-arm,ág,ág,aː ɡ,,uesz,,,^ ág $,default,Flußarm;   Ast;   Sippe;  Parentel;   herausragender Teil von etw;  Arm;   Teil einer Begriffsklasse;   abzweigen ,Arm-1,56-ag,^(a|aː|o)(ɡ|k|nd)(ɣ|i|iɣ|y)?$
Hungarian-26-arm-2,103,Hungarian,26-arm,kar²,kar,k ɒ r,,uesz,,,^ kar $,default,Arm;  Lehne;   Arm als Gegenstand,Arm-2,4431-kar,^(k)(a|o|ɒ|i)(r|v|ɣ|t|w)(ɣ|i|iɣ|y)?$
Hungarian-780-ankommen-1,104,Hungarian,780-ankommen,ér²,ér,eː r,,uesz,,,^ ér $,default,berühren;  treffen;   ankommen;   erleben;   reichen;  langen;   erwischen;   zufällig tun;   tun können,ankommen-1,2216-er,^(ɛ)(r|v|ɣ|t|w)(ɣ|i|iɣ|y)?$
Hungarian-440-pfeil-1,112,Hungarian,440-pfeil,nyíl,nyíl,ɲ iː l,,uesz,,,^ nyíl $,default,  Teil;  Schicksal;   losen;   Blitz; Pfeil;   Losziehung;   durch Los zugeteiltes Gruntück;   〈als Benennung versch pfeil-;  od keilförmiger Gegenstände und Zeichen〉;  Anteil des zugeteilten Feldes;   Schütze 〈in der Astronomie〉;   Bogenschütze;   Anhänger der ung Nazipartei 〈auch als Attr〉;   mit Pfeil und Bogen schießen,Pfeil-1,6502-nyil,^(n)(i|iː)(l|ɣ|r|j)?(ɣ|i|iɣ|y)?$
Hungarian-183-asche-1,113,Hungarian,183-asche,hamu,hamu,h ɒ m u,,uesz,,,^ hamu $,default,  Leiche; Asche;   mit Asche bedeckt od gefüllt;   aschfarben;  aschgrau;  meszes bőrkikészítő anyagot tartalmazó gödör;  edény;  láda;   flaumig;  duftig 〈Obst〉;  vászonlepedő 〈a szapulóban〉;   samtig;  jugendfrisch,Asche-1,3356-hamu,^(h|ks|u)(a|o|ɒ|i)(m|i)(u|a)(ɣ|i)?$
Hungarian-985-fragen-1,114,Hungarian,985-fragen,kérd,kérd,k eː r d,,uesz,,,^ kérd $,default, begehren; bitten;   fragen;   Fragen;   nachfragen,fragen-1,4586-kerd,^(k)(ɛ|i|eː|ø|e)(r)(ɣ|i|iɣ|y)?$
Hungarian-986-bitten-1,119,Hungarian,986-bitten,kér¹,kér,k eː r,,uesz,,,^ kér $,default,  fordern;  wünschen;   Brautwerber;  auffordern;   beten;   Bitte; bitten;   bitten;   inständig bitten;  anflehen;   ersuchen;   um jm Hand bitten od werben;  freien;   hinbestellen;   käuflich erwerben;  kérés,bitten-1,4582-ker,^(k)(ɛ|i|eː|ø|e)(r|v|ɣ|t|w)(ɣ|i|iɣ|y)?$
Hungarian-920-sichversammeln-1,125,Hungarian,920-sichversammeln,gyűlik,gyűlik,ɟ yː l i k,,uesz,,,^ gyűlik $,default,  hergelaufen;   Versammlung; sich versammeln;  sich anhäufen;   eitern;  schwären,sichversammeln-1,3251-gyulik,^(d͡ʒ|ɟ)(y|ɛ|i)(l|rl|ɣ)(i|y)(k)?(ɣ)?$
Hungarian-600-zuerst-1,126,Hungarian,600-zuerst,eleve,eleve,ɛ l ɛ v ɛ,,uesz,,,^ eleve $,default, anfangs; vorne 〈in attr Funktion〉;   erstens;  als erster;  zuerst;   vorwärts;  voraus;   von vornherein,zuerst-1,2127-eleve,^(ɛ|i)(l|rl|ɣ)(ɛ|i|ø)(v|ɣ|w)(ɛ)?$
Hungarian-597-damals-1,127,Hungarian,597-damals,ottogyol †,ottogyol,o tː o ɟ o l,,uesz,,,^ ottogyol $,default, dann; dort;   dort;   damals,damals-1,6762-ottogyol,tː not old
Hungarian-597-damals-2,128,Hungarian,597-damals,tott †,tott,t o tː,,uesz,,,^ tott $,default, ja; wahrlich;   damals,damals-2,9357-tott,tː# not old
Hungarian-469-august-1,129,Hungarian,469-august,augusztus,augusztus,ɒ u ɡ u s t u ʃ,,uesz,,,^ augusztus $,default,August,August-1,416-augusztus,"#ɒu, st not old"
Hungarian-209-tante-1,130,Hungarian,209-tante,néni,néni,n eː n i,,uesz,,,^ néni $,default,  alte Frau; Tante;  ältere Verwandte;   ältere Schwester;  〈als Anrede an eine  Frau〉,Tante-1,6406-neni,#n not old
Hungarian-209-tante-2,131,Hungarian,209-tante,tanti ∆,tanti,t ɒ n t i,,uesz,,,^ tanti $,default,Tante,Tante-2,9025-tanti,^(t)(a|o|ɒ|i)(nt|n)(i)(ɣ|i|iɣ|y)?$
Hungarian-460-herbst-1,132,Hungarian,460-herbst,ősz²,ősz,øː s,,uesz,,,^ ősz $,default,Herbst,Herbst-1,6600-osz,^(ɛ)(s|ʃ|z)?(ɣ|i|iɣ|y)?$
Hungarian-20-rucken-1,133,Hungarian,20-rucken,derék,derék,d ɛ r eː k,,uesz,,,^ derék $,default,  brav;  wirklich;   Wesen;   gut;  kräftig;  tüchtig;   völlig;   stattlich;   stattlich;   schön; Leib;  Rumpf;   Rücken;  Kreuz;   Mitte;  Hauptteil;  Inhalf;   Wagenkasten;   Baumstamm;   Mieder;   Taille 〈am Kleid〉;   Regenbett;  Wasserlauf;  trockenes Flußbett;  wohlgebaut;   Haupt-;  echt;  vollständig;   groß;   richtig;   vortrefflich,Rucken-1,1782-derek,^(d|d͡ʒ|t)(ɛ|i|ø)(r|v)(ɛ|i)(k)?(ɣ)?$
Hungarian-614-zuruck-1,139,Hungarian,614-zuruck,curukk ×,curukk,t͡s u r u kː,,uesz,,,^ curukk $,default,zurück!,zuruck-1,1320-curukk,kː# not old
