ID,rc,Meaning
Hungarian-0-eineInterjektion-1,wrong year,eine Interjektion
Hungarian-1-eineInterjektion-2,aː# not old,eine Interjektion
Hungarian-2-Flausch-1,#ɒ not old,Flausch
Hungarian-3-Fries-1,#ɒ not old,Fries
Hungarian-4-Flanell-1,#ɒ not old,Flanell
Hungarian-5-BesatzamRock-1,#ɒ not old,Besatz am Rock
Hungarian-6-gemischt-1,"#ɒ, j.d, t͡s# not old",gemischt
Hungarian-7-Mischkorn-1,"#ɒ, j.d, t͡s# not old",Mischkorn
Hungarian-8-schmutzigesGetreide-1,"#ɒ, j.d, t͡s# not old",schmutziges Getreide
Hungarian-9-Fra-1,"#ɒ, j.d, t͡s# not old",Fraß
Hungarian-10-Gekoch-1,"#ɒ, j.d, t͡s# not old",Gekoch
Hungarian-11-beunruhigen-1,wrong year,beunruhigen
Hungarian-12-belastigen-1,wrong year,belästigen
Hungarian-13-hetzen-1,wrong year,hetzen
Hungarian-14-jagen-1,wrong year,jagen
Hungarian-15-schreien-1,wrong year,schreien
Hungarian-16-prugeln-1,wrong year,prügeln
Hungarian-17-schreien-2,wrong year,schreien
Hungarian-18-plaudern-1,wrong year,plaudern
Hungarian-19-klagen-1,wrong year,klagen
Hungarian-20-abbruhen-1,#ɒ not old,abbrühen
Hungarian-21-abkochen-1,#ɒ not old,abkochen
Hungarian-22-niedermitihm-1,wrong year,nieder mit ihm
Hungarian-23-verfertigen-1,b.d not old,verfertigen
Hungarian-24-behauen-1,b.d not old,behauen
Hungarian-25-flicken-1,b.d not old,flicken
Hungarian-26-schlechtnahen-1,b.d not old,schlecht nähen
Hungarian-27-Alphabet-1,"t͡s, eː# not old",Alphabet
Hungarian-28-alphabetischeOrdnung-1,"t͡s, eː# not old",alphabetische Ordnung
Hungarian-29-Elementartkentnisse-1,"t͡s, eː# not old",Elementartkentnisse
Hungarian-30-Abessinier-1,"#ɒ, sː not old",Abessinier
Hungarian-31-abessinisch-1,"#ɒ, sː not old",abessinisch
Hungarian-32-Abessziniabanlako-1,"#ɒ, sː not old",Abesszíniában lakó
Hungarian-33-sotetboruneptagja-1,"#ɒ, sː not old",sötét bőrű nép tagja
Hungarian-34-Abesszinia-1,"#ɒ, sː not old",Abesszínia
Hungarian-35-Fenster-1,"#ɒ, b.l not old",Fenster
Hungarian-36-Rauchloch-1,"#ɒ, b.l not old",Rauchloch
Hungarian-37-ArtSchutzdachuberHeuschobern-1,#ɒ not old,Art Schutzdach über Heuschobern
Hungarian-38-RationdesDienstvolks-1,"#ɒ, b.r not old",Ration des Dienstvolks
Hungarian-39-Nahrung-1,"#ɒ, b.r not old",Nahrung
Hungarian-40-Pferdefutter-1,"#ɒ, b.r not old",Pferdefutter
Hungarian-41-Abrakadabra-1,wrong year,Abrakadabra
Hungarian-42-Amulett-1,wrong year,Amulett
Hungarian-43-dahintraumen-1,wrong year,dahinträumen
Hungarian-44-irren-1,wrong year,irren
Hungarian-45-herumgaffen-1,wrong year,herumgaffen
Hungarian-46-Bild-1,b.r not old,Bild
Hungarian-47-Gestalt-1,b.r not old,Gestalt
Hungarian-48-prugeln-2,wrong year,prügeln
Hungarian-49-unterrichten-1,wrong year,unterrichten
Hungarian-50-reif-1,"#ɒ, b.r, n.t͡ʃ# not old",reif
Hungarian-51-Kreis-1,"#ɒ, b.r, n.t͡ʃ# not old",Kreis
Hungarian-52-Ring-1,"#ɒ, b.r, n.t͡ʃ# not old",Ring
Hungarian-53-ReifenamSaumedesFrauenkleides-1,"#ɒ, b.r, n.t͡ʃ# not old",Reifen am Saume des Frauenkleides
Hungarian-54-Tischtuch-1,"#ɒ, b.r not old",Tischtuch
Hungarian-55-Landkarte-1,"#ɒ, b.r not old",Landkarte
Hungarian-56-Decke-1,"#ɒ, b.r not old",Decke
Hungarian-57-Bettlaken-1,"#ɒ, b.r not old",Bettlaken
Hungarian-58-Absinth-1,wrong year,Absinth
