ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthography,CV_Segments,ProsodicStructure,FB_Segments,FB_Vowel_Harmony,Year
H-0_carpenter-1,,H,0_carpenter,āč,āč,aː t͡ʃ,,wot,1,true,^ āč $,default,ács,aː t͡ʃ,VC,aː t͡ʃ,True,1222
EAH-0_carpenter-1,,EAH,0_carpenter,aγači,aγači,a ɣ a t͡ʃ i,,wot,1,true,^ aγači $,default,,a ɣ a t͡ʃ i,VCVCV,a ɣ a t͡ʃ F,True,1222
WOT-0_carpenter-1,,WOT,0_carpenter,aγaččï,aγaččï,a ɣ a t͡ʃː ɯ,,wot,1,false,^ aγaččï $,default,,a ɣ a t͡ʃː ɯ,VCVCV,a ɣ a t͡ʃː B,True,1222
H-1_cannoncatapult-1,,H,1_cannoncatapult,ādʹū,ādʹū,aː ɟ uː,,wot,2,true,^ ādʹū $,default,ágyú,aː ɟ uː,VCV,aː ɟ B,True,1456
OH-1_cannoncatapult-1,,OH,1_cannoncatapult,āldʹū,āldʹū,aː l ɟ uː,,wot,2,true,^ āldʹū $,default,,aː l.ɟ uː,VCCV,aː l ɟ B,True,1456
LAH-1_cannoncatapult-1,,LAH,1_cannoncatapult,aldau̯,aldau̯,a l d a w,,wot,2,true,^ aldau̯ $,default,,a l.d a w,VCCVC,a l d a w,True,1456
EAH-1_cannoncatapult-1,,EAH,1_cannoncatapult,aldaγ,aldaγ,a l d a ɣ,,wot,2,true,^ aldaγ $,default,,a l.d a ɣ,VCCVC,a l d a ɣ,True,1456
WOT-1_cannoncatapult-1,,WOT,1_cannoncatapult,aldaγ,aldaγ,a l d a ɣ,,wot,2,true,^ aldaγ $,default,,a l.d a ɣ,VCCVC,a l d a ɣ,True,1456
H-2_tofondlepetcaress-1,,H,2_tofondlepetcaress,åynāroz,åynāroz,ɒ j n aː r o z,,wot,3,true,^ åynāroz $,default,ajnároz,ɒ j.n aː r o z,VCCVCVC,B j n aː r B z,True,1825
EAH-2_tofondlepetcaress-1,,EAH,2_tofondlepetcaress,ayan,ayan,a j a n,,wot,3,true,^ ayan $,default,,a j a n,VCVC,a j a n,True,1825
